gh,MPs,Rhodb_Redcomponent_percentile50th,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_component_percentile_50th,Rhodb_filter_Green_ component_percentile_90th,Rhodb_filter_Blue_component_percentile_50th,Rhodb_filter_ Blue_ component_percentile_90th,nilrefilter_Redcomponent_percentile50th,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_component_percentile_50th,nilre_filter_Green_ component_percentile_90th,nilre_filter_Blue_component_percentile_50th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Red_ component_percentile_90th,DAPI_filter_Green_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_Blue_component_percentile_50th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_Red_component_percentile_50th,FITC_filter_ Red_ component_percentile_90th,FITC_filter_Green_component_percentile_50th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_Blue_component_percentile_50th,FITC_filter_ Blue_ component_percentile_90th
122,PP1,0,0,0,0,0,0,0,0,0,0,2.3435,3.4727,0,0,0,0,0,0,0,0,173.83,192.4764,26.776,29.676
124,PS,0,0,0,0,0,0,249.951,251.4814,0,0,0,0,0,0,0,0,0,0,0.1575,0.2835,18.374,32.31,2.633,4.7394
125,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0.423,0.7614,52.496,85.8152,83.691,136.9862,0,0,0,0,0,0
126,PVC,30.956,30.956,24.115,24.115,0,0,34.7585,41.8037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,OM,0,0,0,0,0,0,0,0,0,0,9.629,10.4082,0.3415,0.6147,13.476,13.6904,21.252,21.5592,0,0,0,0,0,0
128,PA,126.8545,133.5525,97.889,103.0418,0,0,165.79,172.2236,0,0,0,0,0,0,39.274,40.0564,59.2805,59.5225,0,0,0,0,0,0
129,PA6,5.1335,6.2683,2.9155,3.0831,0,0,6.33,8.1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,PE,4.4265,4.6349,3.678,3.8476,0,0,44.147,76.0638,0,0,0,0,0,0,0,0,0,0,0,0,233.0595,239.9191,35.8585,36.8933
131,PE100,0,0,0,0,0,0,63.2295,68.1483,0,0,0,0,0,0,0,0,0,0,0.2175,0.3915,198.147,200.379,30.514,30.8636
132,PE102,27.275,27.3582,21.1025,21.3189,0,0,56.6705,66.0165,0,0,0,0,0,0,0,0,0,0,0.2365,0.4257,145.022,145.4844,22.3255,22.3971
133,PETmono,3.856,3.9608,3.2275,3.3039,0,0,0,0,0,0,0,0,0,0,60.1905,65.0669,96.0065,103.8101,0,0,0,0,0,0
134,PETp,0,0,0,0,0,0,247.124,252.0984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,PLA,97.841,102.1418,75.5685,78.8777,0,0,175.573,195.9282,0,0,0,0,0,0,26.6795,27.6559,42.3855,43.9515,0,0,0,0,0,0
136,PP1,0,0,0,0,0,0,0,0,0,0,4.1715,4.6239,0,0,0,0,0,0,0,0,118.239,123.4638,18.1425,18.9557
138,PS,0,0,0,0,0,0,249.3865,249.7605,0,0,0,0,0,0,0,0,0,0,4.0365,7.2657,26.308,46.5848,3.859,6.9462
139,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.7725,79.2129,111.329,126.4338,0,0,0,0,0,0
140,PVC,15.217,15.217,11.95,11.95,0,0,36.767,39.4142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,OM,0,0,0,0,0,0,10.896,12.9632,0,0,0,0,0,0,9.763,11.1926,15.3255,17.5899,0,0,0,0,0,0
142,PA,117.8575,132.2355,90.9695,102.0307,0,0,155.9405,160.7825,0,0,0,0,0,0,37.2395,37.3927,66.8025,67.9525,0,0,0,0,0,0
143,PA6,4.4125,4.5561,3.6555,3.7639,0,0,4.9205,5.0377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
